id,org,title,issued,type,tier,fields,applies,archive_status,local_pdf_count,local_pdf_files,local_pdf_pages,local_pdf_size_bytes,local_pdf_sha256,official_url,accessed,notes
COMAC_C909_PAGE,COMAC,C909 Official Product Page,2026,OEM web,A2,seating | range | MTOW | dimensions | status,C909,local-attached,1,COMAC_C909_Airplane_Characteristics_for_Airport_Planning.pdf,196,16368662,2201aa2bfa9103b43077b480cd97b174b142812ecfd8b852ade7a7e36e90f7b2,http://english.comac.cc/products/rj/,2026-07-13,Official programme page.
COMAC_C919_PAGE,COMAC,C919 Official Product Page,2026,OEM web,A2,seating | range | status,C919,external-only,0,,,,,http://english.comac.cc/products/ca/,2026-07-13,Current product/programme page.
COMAC_C919_ACAP,COMAC,C919 Aircraft Characteristics for Airport Planning,2025,OEM airport planning,A2,MTOW | dimensions | geometry | payload,C919,local-attached,1,COMAC_C919_Airplane_Characteristics_for_Airport_Planning_October_2025.pdf,260,28787931,f610f13bf340954167538efaf928af5d40bedf09b6df4018cef8aa0483caa3cf,http://english.comac.cc/products/ca/,2026-07-13,Current ACAP revision.
COMAC_C929_PAGE,COMAC,C929 Official Product Page,2026,OEM web,A2,seating | programme status,C929,external-only,0,,,,,http://english.comac.cc/products/wb/,2026-07-13,Current page publishes seating envelope but not frozen MTOW/range/dimensions.
UAC_SSJ100_PAGE,United Aircraft Corporation,Superjet 100 Official Product Specifications,2026,OEM web,B1,seating | range | MTOW | dimensions,Superjet 100,external-only,0,,,,,https://uacrussia.ru/en/aircraft/lineup/lineup/superjet-100/,2026-07-13,Legacy programme reference.
UAC_SJ100_PAGE,United Aircraft Corporation,SJ-100 Programme Page,2026,OEM web,A2,seating | range | MTOW | dimensions | status,SJ-100,external-only,0,,,,,https://uacrussia.ru/en/aircraft/lineup/civil/sj-100/,2026-07-13,Development programme values.
UAC_MC21_PAGE,United Aircraft Corporation,MC-21 Official Product Specifications,2026,OEM web,A2,seating | range | MTOW | dimensions | status,MC-21-310,external-only,0,,,,,https://uacrussia.ru/en/aircraft/lineup/civil/ms-21/,2026-07-13,Official product specification.
ATR_42_600,ATR,ATR 42-600 Official Product Specifications,2026,OEM web,A2,seating | range | MTOW | dimensions | payload,ATR 42-600,external-only,0,,,,,https://www.atr-aircraft.com/aircraft-services/aircraft-family/atr-42-600/,2026-07-13,Current official product page.
ATR_72_600,ATR,ATR 72-600 Official Product Specifications,2026,OEM web,A2,seating | range | MTOW | dimensions | payload,ATR 72-600,external-only,0,,,,,https://www.atr-aircraft.com/aircraft-services/aircraft-family/atr-72-600/,2026-07-13,Current official product page.
ATR_72_600F,ATR,ATR 72-600F Official Product Specifications,2026,OEM web,A2,range | MTOW | dimensions | payload | cargo volume,ATR 72-600F,external-only,0,,,,,https://www.atr-aircraft.com/aircraft-services/aircraft-family/atr-72-600f-freighter/,2026-07-13,Current official freighter page.
FAA_TC_DATA_INDEX,FAA,FAA Type Certificate Data Sheet Index,2026,Regulator index,A1,certification cross-check,US-certified commercial aircraft,external-only,0,,,,,https://drs.faa.gov/browse/TCDSMODEL/doctypeDetails,2026-07-13,Regulator cross-check index.
BOEING_2026Q1_RESULTS,Boeing,Boeing First Quarter 2026 Results,2026-04-22,OEM investor release,A2,777-9 status | 787 iMTOW status,777-9 | 787-9 iMTOW | 787-10 iMTOW,external-only,0,,,,,https://investors.boeing.com/investors/news/press-release-details/2026/Boeing-Reports-First-Quarter-Results/default.aspx,2026-07-13,Programme status cross-check.
